dE	dSig
403	214
413	180
423	136
433	101
443	74.3
453	113
463	326
473	661
483	774
493	705
503	598
513	548
523	498
533	445
543	419
600	362
700	259
750	231
800	217
850	200
900	188
950	185
1000	175
1050	168
1100	163
1150	162
1200	158
1250	158
1300	156
1350	156
1400	156
1450	156
1500	157
1550	165
1560	167
1570	169
1580	169
1590	169
1600	170
1610	169
1620	166
1625	170
1630	159
1640	147
1650	128
1660	92.3
1670	48.3
1675	33.5
1680	20.5
1690	67.9
1700	223
1710	465
1720	719
1725	843
1730	842
1735	818
1740	764
1750	552
1760	326
1770	189
1775	151
1780	111
1790	69.2
1800	52.6
1810	40.1
1820	36
1825	37.3
1830	35.3
1840	35.4
1850	37.2
1875	44.1
1900	47
1925	52.3
1950	53.8
1975	64.8
2000	60.9
2025	62.9
2050	64.1
2075	69.1
2100	68
2125	70.4
2150	67.4
2175	70
2200	68.7
2225	70.6
2250	68.7
2275	70.1
2300	69.1
2325	72.7
2350	70.4
2375	72.1
2400	70.9
